Unnamed: 0,id,name,energy,time,ingredients,recipe,photo,ing_obr,ing_new,Calories,Proteins,Fats,Carbohydrates
0,1,Брауни (brownie),"Калории: 676, белки: 10, жиры: 46, углеводы: 55",40 минут,"Темный шоколад 100 г
Сливочное масло 180 г
Коричневый сахар 200 г
Куриное яйцо 4 штуки
Пшеничная мука 100 г
Грецкие орехи 100 г","① Шоколад разломать на кусочки и вместе со сливочным маслом растопить на водяной бане, не переставая все время помешивать лопаткой или деревянной ложкой. Получившийся густой шоколадный соус снять с водяной бани и оставить остывать.
② Тем временем смешать яйца со ста граммами коричневого сахара: яйца разбить в отдельную миску и взбить, постепенно добавляя сахар. Взбивать можно при помощи миксера или вручную — как больше нравится, — но не меньше двух с половиной-трех минут.
③ Острым ножом на разделочной доске порубить грецкие орехи. Предварительно их можно поджарить на сухой сковороде до появления аромата, но это необязательная опция.
④ В остывший растопленный со сливочным маслом шоколад аккуратно добавить оставшийся сахар, затем муку и измельченные орехи и все хорошо перемешать венчиком.
⑤ Затем влить сахарно-яичную смесь и тщательно смешать с шоколадной массой. Цвет у теста должен получиться равномерным, без разводов.
⑥ Разогреть духовку до 200 градусов. Дно небольшой глубокой огнеупорной формы выстелить листом бумаги для выпечки или калькой. Перелить тесто в форму. Поставить в духовку и выпекать двадцать пять — тридцать минут до появления сахарной корочки.
⑦ Готовый пирог вытащить из духовки, дать остыть и нарезать на квадратики острым ножом или ножом для пиццы — так кусочки получатся особенно ровными.
⑧ Подавать брауни можно просто так, а можно посыпать сверху сахарной пудрой или разложить квадратики по тарелкам и украсить каждую порцию шариком ванильного мороженого.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/120131082911/130725174021/p_O.jpg,"['темн', 'шоколад', 'сливочн', 'масл', 'коричнев', 'сахар', 'курин', 'яйц', '4', 'штук', 'пшеничн', 'мук', 'грецк', 'орех']","['тёмный', 'шоколад', 'г', 'сливочный', 'масло', 'г', 'коричневый', 'сахар', 'г', 'куриный', 'яйцо', 'штука', 'пшеничный', 'мука', 'г', 'грецкий', 'орех', 'г']",676,10,46,55
1,2,Сырники из творога,"Калории: 938, белки: 42, жиры: 61, углеводы: 56",30 минут,"Творог 350 г
Куриное яйцо 2 штуки
Пшеничная мука 6 столовых ложек
Сахар 2 столовые ложки
Подсолнечное масло 5 столовых ложек","① Положите весь творог в кастрюльку и разомните его вилкой так, чтобы в нем не осталось крупных комков. Разбейте в него яйца, всыпьте сахар и тщательно все перемешайте. Лучше не использовать слишком сухой или слишком влажный творог, иначе сырники будут разваливаться в процессе приготовления.
② Всыпьте в творог 5 столовых ложек (с горкой) муки и тщательно перемешайте. Можно добавить немного больше муки, сырники получатся тогда более плотными. Или муки можно добавить чуть меньше, и тогда сырники будут нежнее. В итоге у вас должна получиться однородная масса, из которой можно будет лепить сырники.
③ Поставьте сковороду на средний огонь и налейте в нее подсолнечное масло.
④ Насыпьте на тарелку немного муки. Слепите несколько небольших шариков из получившейся творожной массы и положите их на тарелку. Лучше лепить разом 4–5 шариков — столько, сколько поместится одновременно на сковороду. Затем по очереди обкатывайте творожные шарики в муке, плющите их в небольшие лепешки (они не должны быть слишком тонкие) и выкладывайте на сковороду.
⑤ Обжаривайте сырники 1–2 минуты до появления золотистой корочки. Затем переверните их на другую сторону и также обжарьте до золотистого состояния.
⑥ Повторяйте, пока творог не закончится.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/120213175531/180415114517/p_O.jpg,"['творог', 'курин', 'яйц', '2', 'штук', 'пшеничн', 'мук', '6', 'столов', 'ложек', 'сахар', '2', 'столов', 'ложк', 'подсолнечн', 'масл', '5', 'столов', 'ложек']","['творог', 'г', 'куриный', 'яйцо', 'штука', 'пшеничный', 'мука', 'столовый', 'ложка', 'сахар', 'столовая', 'ложка', 'подсолнечный', 'масло', 'столовый', 'ложка']",938,42,61,56
2,3,Спагетти карбонара со сливками,"Калории: 1158, белки: 46, жиры: 61, углеводы: 102",20 минут,"Спагетти 250 г
Сливочное масло 20 г
Чеснок 2 зубчика
Красный лук 1 головка
Бекон 50 г
Сливки 20%-ные 200 мл
Тертый сыр пармезан  50 г
Куриное яйцо 4 штуки
Соль по вкусу
Молотый черный перец по вкусу","① Вскипятите воду в большой кастрюле и сварите пасту до состояния аль денте. Обычно для этого нужно варить ее на минуту меньше, чем указано на пачке.
② Пока паста варится, растопите на сковороде масло и обжарьте на нем мелко нарезанные лук, чеснок и бекон. До мягкости и до отчетливого чесночного и жаренобеконного запаха.
③ Снимите сковороду с огня и в глубокой миске взбейте четыре яичных желтка со сливками и тертым пармезаном. Посолите и поперчите смесь, еще раз взбейте.
④ В готовые спагетти вывалите обжаренные с луком и чесноком кусочки бекона. Влейте смесь сливок, желтков и пармезана, перемешайте. И сразу подавайте, посыпав свеженатертым сыром и черным молотым перцем.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/150615095301/150617154856/p_O.jpg,"['спагетт', 'сливочн', 'масл', 'чеснок', '2', 'зубчик', 'красн', 'лук', 'оловк', 'бекон', 'сливк', '20', 'ны', '200', 'мл', 'терт', 'сыр', 'пармеза', 'курин', 'яйц', '4', 'штук', 'сол', 'вкус', 'молот', 'черн', 'перец', 'вкус']","['спагетти', 'г', 'сливочный', 'масло', 'г', 'чеснок', 'зубчик', 'красный', 'лук', 'головка', 'бекон', 'г', 'сливка', 'ные', 'мл', 'тёртый', 'сыр', 'пармезан', 'г', 'куриный', 'яйцо', 'штука', 'соль', 'по', 'вкус', 'молотый', 'чёрный', 'перец', 'по', 'вкус']",1158,46,61,102
3,4,Классическая шарлотка,"Калории: 217, белки: 5, жиры: 5, углеводы: 38",35 минут,"Сахар 1 стакан
Куриное яйцо 5 штук
Пшеничная мука 1 стакан
Яблоко 7 штук
Растительное масло 1 столовая ложка
Разрыхлитель ½ чайные ложки","① Разогреть духовку. Отделить белки от желтков. Белки взбить в крепкую пену с щепоткой соли, постепенно добавляя сахар.
② Продолжать взбивать, добавляя по одному желтки, затем разрыхлитель и муку. Тесто по консистенции должно напоминать сметану.
③ Смазать противень растительным маслом. Вылить половину теста на противень, разложить равномерно нарезанные дольками яблоки, залить второй половиной теста.
④ Поместить противень в разогретую духовку.
③ минуты подержать при температуре 200 градусов, затем убавить до 180 и выпекать 20–25 минут.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/130813174717/151102203457/p_O.jpg,"['сахар', '1', 'стака', 'курин', 'яйц', '5', 'штук', 'пшеничн', 'мук', '1', 'стака', 'яблок', '7', 'штук', 'растительн', 'масл', '1', 'столов', 'ложк', 'разрыхлител', '½', 'чайн', 'ложк']","['сахар', 'стакан', 'куриный', 'яйцо', 'штука', 'пшеничный', 'мука', 'стакан', 'яблоко', 'штука', 'растительный', 'масло', 'столовая', 'ложка', 'разрыхлитель', '½', 'чайный', 'ложка']",217,5,5,38
4,5,Лазанья классическая с мясом,"Калории: 965, белки: 50, жиры: 73, углеводы: 24",40 минут,"Мясной фарш 600 г
Соус болоньезе 600 г
Сливочное масло 60 г
Пшеничная мука 2,5 столовые ложки
Оливковое масло 2 столовые ложки
Молоко 750 мл
Готовые сухие листы лазаньи 10 штук
Твердый сыр 500 г","① В сотейник положить сливочное масло и 2 ложки растительного масла, растопить. Постепенно добавлять муку и размешивать так, чтобы не оставалось комочков.
② Когда вся мука вмешана, влить все молоко. Убавить огонь и томить до нужной консистенции: не жидкой, но и не слишком густой. Важно постоянно помешивать соус, чтобы он не пригорел. Консистенция нежирной сметаны.
③ На сковороде раскалить оливковое масло. Добавить мясной фарш (лучше свинина+телятина).
④ Фарш жарить до полуготовности. Влить в него соус болоньезе, посолить и поперчить по вкусу.
⑤ Духовку разогреть до 180 градусов. Форму смазать сливочным маслом. На дно вылить немного соуса бешамель, чуть-чуть, только чтобы покрыть дно.
⑥ Выложить пласты (не вареные). На пласты выложить получившийся фарш (не жалеем!), на фарш — натертый сыр. На сыр — соус бешамель.
⑦ Соуса нужно выкладывать столько, сколько необходимо, на ваш взгляд, чтобы лазанья получилась сочной. Поверх соуса выложить сухие листы лазаньи. Повторить процедуру.
⑧ Последний слой листов промазать соусом бешамель и сверху щедро засыпать сыром. Дать постоять минут 7–
①⓪ Поставить в духовку. Печь 30 минут.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/120131082527/130715011534/p_O.jpg,"['мясн', 'фарш', 'соус', 'болоньез', 'сливочн', 'масл', 'пшеничн', 'мук', '2', '5', 'столов', 'ложк', 'оливков', 'масл', '2', 'столов', 'ложк', 'молок', '750', 'мл', 'готов', 'сух', 'лист', 'лазан', '10', 'штук', 'тверд', 'сыр']","['мясной', 'фарш', 'г', 'соус', 'болоньеза', 'г', 'сливочный', 'масло', 'г', 'пшеничный', 'мука', 'столовая', 'ложка', 'оливковый', 'масло', 'столовая', 'ложка', 'молоко', 'мл', 'готовый', 'сухой', 'лист', 'лазание', 'штука', 'твёрдый', 'сыр', 'г']",965,50,73,24
5,6,Тонкие блины на молоке,"Калории: 733, белки: 27, жиры: 27, углеводы: 95",40 минут,"Пшеничная мука 400 г
Сахар 2 столовые ложки
Куриное яйцо 5 штук
Молоко 1 л
Соль на кончике ножа
Растительное масло 2 столовые ложки","① Взбить яйца с сахаром.
② Постепенно ввести муку и соль, чередуя с молоком, и аккуратно размешать до однородной массы.
③ Оставить на 20 минут.
④ Добавить в тесто растительное масло и жарить блины на сильно разогретой сковороде.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/130212102403/130313131925/p_O.jpg,"['пшеничн', 'мук', 'сахар', '2', 'столов', 'ложк', 'курин', 'яйц', '5', 'штук', 'молок', '1', 'л', 'сол', 'кончик', 'нож', 'растительн', 'масл', '2', 'столов', 'ложк']","['пшеничный', 'мука', 'г', 'сахар', 'столовая', 'ложка', 'куриный', 'яйцо', 'штука', 'молоко', 'л', 'соль', 'на', 'кончик', 'нож', 'растительный', 'масло', 'столовая', 'ложка']",733,27,27,95
6,7,Американский тыквенный пирог с корицей,"Калории: 652, белки: 10, жиры: 37, углеводы: 72",2 часа,"Пшеничная мука 400 г
Сливочное масло 250 г
Куриное яйцо 3 штуки
Тыква 900 г
Сахар 200 г
Сливки 30%-ные 200 мл
Корица по вкусу
Ванилин по вкусу
Соль по вкусу","① Просеять муку и соль в глубокую миску. Перетереть между ладоней с мягким маслом, чтобы смесь напоминала хлебные крошки, затем добавить слегка взбитое яйцо и замесить тесто. Скатать его в шар, завернуть в пленку и отправить в холодильник на 30–50 минут. Если тесто не собирается в шар и рассыпается, добавить 1–2 чайных ложки холодной воды.
② Очистить тыкву, удалить семена. Нарезать мякоть кубиками. Положить в кастрюлю с толстым дном или сотейник, добавить немного воды и тушить до мягкости и полного испарения жидкости. Блендером измельчить мякоть в однородную массу. Для пущей нежности получившееся пюре можно протереть через сито.
③ Раскатать тесто на слегка присыпанной мукой поверхности и застелить им круглую низкую форму диаметром около 25 см. Поверх теста положить лист бумаги для запекания и засыпать любую крупу. Это позволит коржу равномерно пропечься. Выпекать в течение 15 минут при 190 градусах.
④ Выложить тыквенное пюре в глубокую миску, взбить с двумя яйцами, сахаром, сливками, пряностями и солью. Вылить смесь в форму с запеченным тестом. Выпекать пирог 50–55 минут при 180 градусах. Когда пирог остынет, его можно смело разрезать на порции.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/120214140149/121007182350/p_O.jpg,"['пшеничн', 'мук', 'сливочн', 'масл', 'курин', 'яйц', '3', 'штук', 'тыкв', 'сахар', 'сливк', '30', 'ны', '200', 'мл', 'кориц', 'вкус', 'ванилин', 'вкус', 'сол', 'вкус']","['пшеничный', 'мука', 'г', 'сливочный', 'масло', 'г', 'куриный', 'яйцо', 'штука', 'тыква', 'г', 'сахар', 'г', 'сливка', 'ные', 'мл', 'корица', 'по', 'вкус', 'ванилин', 'по', 'вкус', 'соль', 'по', 'вкус']",652,10,37,72
7,8,Азу по-татарски,"Калории: 525, белки: 33, жиры: 17, углеводы: 66",30 минут,"Говядина 500 г
Репчатый лук 5 головок
Соленые огурцы 3 штуки
Томатная паста  2 столовые ложки
Картофель 1 кг
Мясной бульон 1 стакан
Чеснок 3 зубчика","① Мясо промыть, нарезать соломкой и слегка обжарить в казане в разогретом растительном масле.
② Добавить порезанный тонкими полукольцами лук и обжаривать мясо с луком до мягкости лука.
③ Добавить томатную пасту, мелко нарезанные или тертые на крупной терке огурцы. Залить водой или бульоном и тушить под крышкой до полной готовности мяса.
④ В отдельной сковороде обжарить нарезанный соломкой картофель.
⑤ Когда картофель будет почти готов, переложить его в казан с тушеным мясом, добавить, соль, перец, лавровый лист и пропущенный через чеснокодавилку или мелко порезанный чеснок.
⑥ Осторожно перемешать и тушить картофель с мясом до готовности примерно 5-7 минут.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/140802212008/160519080709/p_O.jpg,"['говядин', 'репчат', 'лук', 'оловок', 'солен', 'огурц', '3', 'штук', 'томатн', 'паст', '2', 'столов', 'ложк', 'картофел', '1', 'кг', 'мясн', 'бульон', '1', 'стака', 'чеснок', '3', 'зубчик']","['говядина', 'г', 'репчатый', 'лук', 'головка', 'солёный', 'огурец', 'штука', 'томатный', 'паста', 'столовая', 'ложка', 'картофель', 'кг', 'мясной', 'бульон', 'стакан', 'чеснок', 'зубчик']",525,33,17,66
8,9,"Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом","Калории: 341, белки: 11, жиры: 23, углеводы: 23",7 минут,"Молотый черный перец по вкусу
Консервированная фасоль 400 г
Соль по вкусу
Лимон 1 штука
Чеснок 2 зубчика
Оливковое масло 50 мл
Рукола 100 г
Творожный сыр 200 г
Красный лук 50 г","① Вскрыть две банки красной фасоли в собственном соку, слить сок и промыть фасоль холодной водой. Желающие использовать не баночную, а самостоятельно сваренную фасоль должны задуматься о приготовлении этого салата еще с вечера. Сначала замочить бобы на ночь, а потом варить их на медленном огне до готовности.
② Готовую фасоль смешать с мелко нарубленным красным луком, зеленью, например, рукколы (которую для удобства поедания нужно предварительно изорвать руками), давленым чесноком, оливковым маслом, лимонным соком и творожным сыром.
③ Посолить, поперчить, дать продуктам две минуты притереться друг к другу и подавать к столу вместе с бокалом Nobile di Montepulciano, если вино осталось с вечера.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/130829212936/130904132758/p_O.jpg,"['молот', 'черн', 'перец', 'вкус', 'консервирова', 'фасол', 'сол', 'вкус', 'лимон', '1', 'штук', 'чеснок', '2', 'зубчик', 'оливков', 'масл', '50', 'мл', 'рукол', 'творожн', 'сыр', 'красн', 'лук']","['молотый', 'чёрный', 'перец', 'по', 'вкус', 'консервированный', 'фасоль', 'г', 'соль', 'по', 'вкус', 'лимон', 'штука', 'чеснок', 'зубчик', 'оливковый', 'масло', 'мл', 'рукол', 'г', 'творожный', 'сыр', 'г', 'красный', 'лук', 'г']",341,11,23,23
9,10,Пирог «Зебра»,"Калории: 1245, белки: 19, жиры: 59, углеводы: 160",30 минут,"Сахар 2 стакана
Куриное яйцо 5 штук
Сливочное масло 200 г
Сметана 1 банка
Пшеничная мука 2 стакана
Какао-порошок 2 столовые ложки
Гашеная сода 1 чайная ложка","① Яйца взбить с сахаром до белой пены. Добавить 2 стакана просеянной муки, соду, растопленное остывшее сливочное масло, сметану и тщательно перемешать (лучше миксером).
② Тесто разделить на две равные части. В одну часть добавить 2 столовые ложки муки, в другую 2 столовые ложки какао. Перемешать, чтобы не было комочков. Тесто должно быть консистенции негустой сметаны.
③ Широкую форму (26–28 см), смазать маслом. Вливать в центр поочередно небольшие порции разного теста (по столовой ложке). Не перемешивать.
④ Выпекать в предварительно разогретой духовке при температуре 200 градусов в течение получаса. Если верх пирога уже пропечется, а середина еще нет — следует накрыть пирог фольгой, уменьшить температуру до 180 градусов и выпекать до готовности.",https://eda.ru/img/eda/c620x415/s1.eda.ru/StaticContent/Photos/120213181923/120213182230/p_O.jpg,"['сахар', '2', 'стака', 'курин', 'яйц', '5', 'штук', 'сливочн', 'масл', 'смета', '1', 'банк', 'пшеничн', 'мук', '2', 'стака', 'кака', 'порошок', '2', 'столов', 'ложк', 'гашен', 'сод', '1', 'чайн', 'ложк']","['сахар', 'стакан', 'куриный', 'яйцо', 'штука', 'сливочный', 'масло', 'г', 'сметана', 'банк', 'пшеничный', 'мука', 'стакан', 'какао', 'порошок', 'столовая', 'ложка', 'гашёный', 'сода', 'чайный', 'ложка']",1245,19,59,160
